,Location,Birth Rate,Year,State,Region,Stabr
183,New Jersey,60.1,2016,New Jersey,Northeast,NJ
184,New Mexico,62.7,2016,New Mexico,West,NM
185,New York,58.6,2016,New York,Northeast,NY
186,North Carolina,60.3,2016,North Carolina,South,NC
187,North Dakota,77.3,2016,North Dakota,Midwest,ND
188,Ohio,62.8,2016,Ohio,Midwest,OH
189,Oklahoma,68.4,2016,Oklahoma,South,OK
190,Oregon,57.0,2016,Oregon,West,OR
191,Pennsylvania,58.5,2016,Pennsylvania,Northeast,PA
192,Rhode Island,51.8,2016,Rhode Island,Northeast,RI
193,South Carolina,59.9,2016,South Carolina,South,SC
194,South Dakota,77.7,2016,South Dakota,Midwest,SD
195,Tennessee,62.0,2016,Tennessee,South,TN
196,Texas,68.6,2016,Texas,South,TX
197,Utah,76.2,2016,Utah,West,UT
198,Vermont,50.3,2016,Vermont,Northeast,VT
199,Virginia,61.1,2016,Virginia,South,VA
200,Washington,63.0,2016,Washington,West,WA
201,West Virginia,58.2,2016,West Virginia,South,WV
202,Wisconsin,61.6,2016,Wisconsin,Midwest,WI
203,Wyoming,67.2,2016,Wyoming,West,WY
204,United States,60.3,2017,United States,N/A,US
205,Alabama,62.0,2017,Alabama,South,AL
206,Alaska,71.5,2017,Alaska,West,AK
207,Arizona,60.8,2017,Arizona,West,AZ
208,Arkansas,65.0,2017,Arkansas,South,AR
209,California,58.2,2017,California,West,CA
210,Colorado,56.6,2017,Colorado,West,CO
211,Connecticut,52.3,2017,Connecticut,Northeast,CT
212,Delaware,60.2,2017,Delaware,South,DE
213,Florida,58.4,2017,Florida,South,FL
214,Georgia,60.2,2017,Georgia,South,GA
215,Hawaii,65.9,2017,Hawaii,West,HI
216,Idaho,67.4,2017,Idaho,West,ID
217,Illinois,59.0,2017,Illinois,Midwest,IL
218,Indiana,63.4,2017,Indiana,Midwest,IN
219,Iowa,64.9,2017,Iowa,Midwest,IA
220,Kansas,65.4,2017,Kansas,Midwest,KS
221,Kentucky,64.5,2017,Kentucky,South,KY
222,Louisiana,65.2,2017,Louisiana,South,LA
223,Maine,53.1,2017,Maine,Northeast,ME
224,Maryland,60.0,2017,Maryland,South,MD
225,Massachusetts,51.2,2017,Massachusetts,Northeast,MA
226,Michigan,59.4,2017,Michigan,Midwest,MI
227,Minnesota,64.3,2017,Minnesota,Midwest,MN
228,Mississippi,63.1,2017,Mississippi,South,MS
229,Missouri,62.3,2017,Missouri,Midwest,MO
230,Montana,62.1,2017,Montana,West,MT
231,Nebraska,69.8,2017,Nebraska,Midwest,NE
232,Nevada,60.7,2017,Nevada,West,NV
233,New Hampshire,50.2,2017,New Hampshire,Northeast,NH
234,New Jersey,59.0,2017,New Jersey,Northeast,NJ
235,New Mexico,60.1,2017,New Mexico,West,NM
236,New York,57.4,2017,New York,Northeast,NY
237,North Carolina,59.6,2017,North Carolina,South,NC
238,North Dakota,73.4,2017,North Dakota,Midwest,ND
239,Ohio,62.1,2017,Ohio,Midwest,OH
240,Oklahoma,65.3,2017,Oklahoma,South,OK
241,Oregon,53.8,2017,Oregon,West,OR
242,Pennsylvania,57.8,2017,Pennsylvania,Northeast,PA
243,Rhode Island,50.9,2017,Rhode Island,Northeast,RI
244,South Carolina,59.1,2017,South Carolina,South,SC
245,South Dakota,76.4,2017,South Dakota,Midwest,SD
246,Tennessee,61.7,2017,Tennessee,South,TN
247,Texas,64.9,2017,Texas,South,TX
248,Utah,72.0,2017,Utah,West,UT
249,Vermont,49.7,2017,Vermont,Northeast,VT
250,Virginia,59.7,2017,Virginia,South,VA
