,YEAR,STATE,RATE,State,Region,Stabr
300,2015,AL,35.2,Alabama,South,AL
301,2015,AK,22.9,Alaska,West,AK
302,2015,AZ,27.6,Arizona,West,AZ
303,2015,AR,32.3,Arkansas,South,AR
304,2015,CA,32.3,California,West,CA
305,2015,CO,25.9,Colorado,West,CO
306,2015,CT,34.0,Connecticut,Northeast,CT
307,2015,DE,31.9,Delaware,South,DE
308,2015,FL,37.3,Florida,South,FL
309,2015,GA,33.6,Georgia,South,GA
310,2015,HI,25.9,Hawaii,West,HI
311,2015,ID,24.4,Idaho,West,ID
312,2015,IL,31.0,Illinois,Midwest,IL
313,2015,IN,29.6,Indiana,Midwest,IN
314,2015,IA,29.8,Iowa,Midwest,IA
315,2015,KS,29.6,Kansas,Midwest,KS
316,2015,KY,34.4,Kentucky,South,KY
317,2015,LA,37.5,Louisiana,South,LA
318,2015,ME,29.4,Maine,Northeast,ME
319,2015,MD,34.9,Maryland,South,MD
320,2015,MA,31.4,Massachusetts,Northeast,MA
321,2015,MI,31.9,Michigan,Midwest,MI
322,2015,MN,26.5,Minnesota,Midwest,MN
323,2015,MS,38.0,Mississippi,South,MS
324,2015,MO,30.3,Missouri,Midwest,MO
325,2015,MT,29.7,Montana,West,MT
326,2015,NE,31.1,Nebraska,Midwest,NE
327,2015,NV,34.6,Nevada,West,NV
328,2015,NH,30.8,New Hampshire,Northeast,NH
329,2015,NJ,36.8,New Jersey,Northeast,NJ
330,2015,NM,24.3,New Mexico,West,NM
331,2015,NY,33.8,New York,Northeast,NY
332,2015,NC,29.3,North Carolina,South,NC
333,2015,ND,27.5,North Dakota,Midwest,ND
334,2015,OH,30.4,Ohio,Midwest,OH
335,2015,OK,32.4,Oklahoma,South,OK
336,2015,OR,27.1,Oregon,West,OR
337,2015,PA,30.1,Pennsylvania,Northeast,PA
338,2015,RI,30.6,Rhode Island,Northeast,RI
339,2015,SC,33.7,South Carolina,South,SC
340,2015,SD,25.7,South Dakota,Midwest,SD
341,2015,TN,33.2,Tennessee,South,TN
342,2015,TX,34.4,Texas,South,TX
343,2015,UT,22.8,Utah,West,UT
344,2015,VT,25.5,Vermont,Northeast,VT
345,2015,VA,32.9,Virginia,South,VA
346,2015,WA,27.5,Washington,West,WA
347,2015,WV,34.9,West Virginia,South,WV
348,2015,WI,26.2,Wisconsin,Midwest,WI
349,2015,WY,27.3,Wyoming,West,WY
350,2014,AL,35.4,Alabama,South,AL
351,2014,AK,23.7,Alaska,West,AK
352,2014,AZ,27.8,Arizona,West,AZ
353,2014,AR,32.0,Arkansas,South,AR
354,2014,CA,32.7,California,West,CA
355,2014,CO,25.6,Colorado,West,CO
356,2014,CT,34.2,Connecticut,Northeast,CT
357,2014,DE,31.5,Delaware,South,DE
358,2014,FL,37.2,Florida,South,FL
359,2014,GA,33.8,Georgia,South,GA
360,2014,HI,24.6,Hawaii,West,HI
361,2014,ID,24.2,Idaho,West,ID
362,2014,IL,31.2,Illinois,Midwest,IL
363,2014,IN,30.3,Indiana,Midwest,IN
364,2014,IA,30.0,Iowa,Midwest,IA
365,2014,KS,29.8,Kansas,Midwest,KS
366,2014,KY,35.1,Kentucky,South,KY
367,2014,LA,38.3,Louisiana,South,LA
368,2014,ME,29.8,Maine,Northeast,ME
369,2014,MD,34.9,Maryland,South,MD
370,2014,MA,31.6,Massachusetts,Northeast,MA
371,2014,MI,32.8,Michigan,Midwest,MI
372,2014,MN,26.5,Minnesota,Midwest,MN
373,2014,MS,37.7,Mississippi,South,MS
374,2014,MO,30.1,Missouri,Midwest,MO
375,2014,MT,31.4,Montana,West,MT
376,2014,NE,30.8,Nebraska,Midwest,NE
377,2014,NV,34.4,Nevada,West,NV
378,2014,NH,29.9,New Hampshire,Northeast,NH
379,2014,NJ,37.4,New Jersey,Northeast,NJ
380,2014,NM,23.8,New Mexico,West,NM
381,2014,NY,33.9,New York,Northeast,NY
382,2014,NC,29.5,North Carolina,South,NC
383,2014,ND,27.6,North Dakota,Midwest,ND
384,2014,OH,30.5,Ohio,Midwest,OH
385,2014,OK,33.1,Oklahoma,South,OK
386,2014,OR,27.4,Oregon,West,OR
387,2014,PA,30.4,Pennsylvania,Northeast,PA
388,2014,RI,30.7,Rhode Island,Northeast,RI
389,2014,SC,34.3,South Carolina,South,SC
390,2014,SD,24.8,South Dakota,Midwest,SD
391,2014,TN,33.7,Tennessee,South,TN
392,2014,TX,34.9,Texas,South,TX
393,2014,UT,22.3,Utah,West,UT
394,2014,VT,25.8,Vermont,Northeast,VT
395,2014,VA,33.1,Virginia,South,VA
396,2014,WA,27.6,Washington,West,WA
397,2014,WV,35.4,West Virginia,South,WV
398,2014,WI,26.1,Wisconsin,Midwest,WI
399,2014,WY,27.8,Wyoming,West,WY
400,2005,AL,31.8,Alabama,South,AL
401,2005,AK,21.9,Alaska,West,AK
402,2005,AZ,24.7,Arizona,West,AZ
403,2005,AR,31.5,Arkansas,South,AR
404,2005,CA,30.7,California,West,CA
405,2005,CO,24.6,Colorado,West,CO
406,2005,CT,32.4,Connecticut,Northeast,CT
407,2005,DE,30.0,Delaware,South,DE
408,2005,FL,34.9,Florida,South,FL
409,2005,GA,30.5,Georgia,South,GA
410,2005,HI,25.6,Hawaii,West,HI
411,2005,ID,22.6,Idaho,West,ID
412,2005,IL,28.8,Illinois,Midwest,IL
413,2005,IN,28.2,Indiana,Midwest,IN
414,2005,IA,26.7,Iowa,Midwest,IA
415,2005,KS,28.9,Kansas,Midwest,KS
416,2005,KY,33.9,Kentucky,South,KY
417,2005,LA,36.8,Louisiana,South,LA
418,2005,ME,28.3,Maine,Northeast,ME
419,2005,MD,31.1,Maryland,South,MD
420,2005,MA,32.2,Massachusetts,Northeast,MA
421,2005,MI,28.8,Michigan,Midwest,MI
422,2005,MN,25.3,Minnesota,Midwest,MN
423,2005,MS,35.1,Mississippi,South,MS
424,2005,MO,29.7,Missouri,Midwest,MO
425,2005,MT,25.8,Montana,West,MT
426,2005,NE,28.6,Nebraska,Midwest,NE
427,2005,NV,31.0,Nevada,West,NV
428,2005,NH,28.0,New Hampshire,Northeast,NH
429,2005,NJ,36.3,New Jersey,Northeast,NJ
430,2005,NM,22.2,New Mexico,West,NM
431,2005,NY,31.5,New York,Northeast,NY
432,2005,NC,29.3,North Carolina,South,NC
433,2005,ND,26.4,North Dakota,Midwest,ND
434,2005,OH,28.1,Ohio,Midwest,OH
435,2005,OK,32.5,Oklahoma,South,OK
436,2005,OR,27.6,Oregon,West,OR
437,2005,PA,28.9,Pennsylvania,Northeast,PA
438,2005,RI,30.3,Rhode Island,Northeast,RI
439,2005,SC,32.7,South Carolina,South,SC
440,2005,SD,25.1,South Dakota,Midwest,SD
441,2005,TN,31.1,Tennessee,South,TN
442,2005,TX,32.6,Texas,South,TX
443,2005,UT,21.6,Utah,West,UT
444,2005,VT,25.9,Vermont,Northeast,VT
445,2005,VA,31.4,Virginia,South,VA
446,2005,WA,27.8,Washington,West,WA
447,2005,WV,34.2,West Virginia,South,WV
448,2005,WI,23.7,Wisconsin,Midwest,WI
449,2005,WY,24.6,Wyoming,West,WY
